feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,14,351,0.0383562,26,92,26,427,1,0.215457,4.6413,0.784543,true
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,13,352,0.0356164,24,94,24,429,1,0.219114,4.56383,0.780886,true
has_allOf__AND__has_items,has_allOf,has_items,11,354,0.030137,20,98,20,433,1,0.226328,4.41837,0.773672,true
has_defs__AND__has_enum,has_defs,has_enum,14,351,0.0383562,23,95,24,429,0.958333,0.221445,4.32763,0.736888,true
has_defs__AND__has_items,has_defs,has_items,13,352,0.0356164,20,98,21,432,0.952381,0.226852,4.19825,0.725529,true
has_allOf__AND__has_defs,has_allOf,has_defs,14,351,0.0383562,22,96,24,429,0.916667,0.223776,4.09635,0.69289,true
has_allOf__AND__has_required,has_allOf,has_required,17,348,0.0465753,26,92,30,423,0.866667,0.217494,3.98478,0.649173,true
has_allOf__AND__has_enum,has_allOf,has_enum,16,349,0.0438356,24,94,28,425,0.857143,0.221176,3.87538,0.635966,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,16,349,0.0438356,23,95,27,426,0.851852,0.223005,3.81988,0.628847,true
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,16,349,0.0438356,23,95,27,426,0.851852,0.223005,3.81988,0.628847,true
has_allOf__AND__has_properties,has_allOf,has_properties,20,345,0.0547945,27,91,33,420,0.818182,0.216667,3.77622,0.601515,true
has_allOf__AND__has_type,has_allOf,has_type,21,344,0.0575342,27,91,34,419,0.794118,0.217184,3.65643,0.576934,true
has_defs__AND__has_required,has_defs,has_required,18,347,0.0493151,23,95,29,424,0.793103,0.224057,3.53975,0.569047,true
has_defs__AND__has_properties,has_defs,has_properties,26,339,0.0712329,28,90,40,413,0.7,0.217918,3.21222,0.482082,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,21,344,0.0575342,21,97,31,422,0.677419,0.229858,2.94712,0.447562,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,27,338,0.0739726,26,92,41,412,0.634146,0.223301,2.83987,0.410845,true
has_enum__AND__has_items,has_enum,has_items,21,344,0.0575342,23,95,36,417,0.638889,0.227818,2.80439,0.411071,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,28,337,0.0767123,26,92,42,411,0.619048,0.223844,2.76553,0.395203,true
has_defs__AND__has_type,has_defs,has_type,31,334,0.0849315,27,91,44,409,0.613636,0.222494,2.75799,0.391142,true
has_items__AND__has_required,has_items,has_required,33,332,0.090411,28,90,51,402,0.54902,0.223881,2.45229,0.325139,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,25,340,0.0684932,24,94,43,410,0.55814,0.229268,2.43444,0.328871,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,24,341,0.0657534,22,96,41,412,0.536585,0.23301,2.30285,0.303576,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,109,256,0.29863,60,58,150,303,0.4,0.191419,2.08966,0.208581,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,115,250,0.315068,62,56,157,296,0.394904,0.189189,2.08735,0.205715,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,111,254,0.30411,60,58,152,301,0.394737,0.192691,2.04855,0.202046,true
has_items__AND__has_properties,has_items,has_properties,45,320,0.123288,30,88,65,388,0.461538,0.226804,2.03497,0.234734,true
has_enum__AND__has_required,has_enum,has_required,47,318,0.128767,29,89,72,381,0.402778,0.233596,1.72425,0.169182,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,97,268,0.265753,49,69,134,319,0.365672,0.216301,1.69057,0.149371,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,98,267,0.268493,48,70,135,318,0.355556,0.220126,1.61524,0.13543,true
has_items__AND__has_type,has_items,has_type,67,298,0.183562,32,86,88,365,0.363636,0.235616,1.54334,0.12802,true
has_minLength__AND__has_type,has_minLength,has_type,28,337,0.0767123,13,105,34,419,0.382353,0.250597,1.52577,0.131756,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,63,302,0.172603,32,86,90,363,0.355556,0.236915,1.50078,0.118641,true
has_oneOf__AND__has_type,has_oneOf,has_type,46,319,0.126027,24,94,66,387,0.363636,0.242894,1.4971,0.120742,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,60,305,0.164384,30,88,86,367,0.348837,0.239782,1.45481,0.109055,true
has_maxLength__AND__has_type,has_maxLength,has_type,22,343,0.060274,8,110,22,431,0.363636,0.25522,1.42479,0.108416,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,43,322,0.117808,21,97,61,392,0.344262,0.247449,1.39125,0.0968133,true
has_enum__AND__has_properties,has_enum,has_properties,67,298,0.183562,31,87,95,358,0.326316,0.243017,1.34277,0.083299,true
has_minLength__AND__has_properties,has_minLength,has_properties,24,341,0.0657534,10,108,30,423,0.333333,0.255319,1.30556,0.0780142,true
has_minLength__AND__has_required,has_minLength,has_required,19,346,0.0520548,8,110,24,429,0.333333,0.25641,1.3,0.0769231,true
has_properties__AND__has_required,has_properties,has_required,139,226,0.380822,54,64,185,268,0.291892,0.238806,1.2223,0.0530859,true
has_required__AND__has_type,has_required,has_type,139,226,0.380822,54,64,186,267,0.290323,0.2397,1.21119,0.0506222,true
has_properties__AND__has_type,has_properties,has_type,261,104,0.715068,92,26,338,115,0.272189,0.226087,1.20391,0.0461024,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,22,343,0.060274,10,108,33,420,0.30303,0.257143,1.17845,0.0458874,true
has_enum__AND__has_type,has_enum,has_type,82,283,0.224658,32,86,110,343,0.290909,0.250729,1.16025,0.0401802,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,18,347,0.0493151,6,112,20,433,0.3,0.258661,1.15982,0.0413395,true
has_minimum__AND__has_type,has_minimum,has_type,21,344,0.0575342,7,111,24,429,0.291667,0.258741,1.12725,0.0329254,true
has_items__AND__has_oneOf,has_items,has_oneOf,15,350,0.0410959,7,111,24,429,0.291667,0.258741,1.12725,0.0329254,true
has_oneOf__AND__has_required,has_oneOf,has_required,37,328,0.10137,14,104,51,402,0.27451,0.258706,1.06109,0.0158033,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,21,344,0.0575342,8,110,31,422,0.258065,0.260664,0.990029,-0.00259899,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,17,348,0.0465753,7,111,28,425,0.25,0.261176,0.957207,-0.0111765,true
has_pattern__AND__has_properties,has_pattern,has_properties,21,344,0.0575342,3,115,28,425,0.107143,0.270588,0.395963,-0.163445,true
has_pattern__AND__has_type,has_pattern,has_type,33,332,0.090411,3,115,40,413,0.075,0.27845,0.269348,-0.20345,true
has_default__AND__has_type,has_default,has_type,29,336,0.0794521,2,116,33,420,0.0606061,0.27619,0.219436,-0.215584,true
has_anyOf__AND__has_type,has_anyOf,has_type,26,339,0.0712329,2,116,34,419,0.0588235,0.27685,0.212475,-0.218026,true
has_pattern__AND__has_required,has_pattern,has_required,15,350,0.0410959,1,117,20,433,0.05,0.270208,0.185043,-0.220208,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,24,341,0.0657534,1,117,32,421,0.03125,0.27791,0.112447,-0.24666,true
has_default__AND__has_properties,has_default,has_properties,19,346,0.0520548,0,118,23,430,0,0.274419,0,-0.274419,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,12,353,0.0328767,19,99,19,434,1,0.228111,4.38384,0.771889,false
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,12,353,0.0328767,19,99,19,434,1,0.228111,4.38384,0.771889,false
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,5,360,0.0136986,8,110,8,445,1,0.247191,4.04545,0.752809,false
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,5,360,0.0136986,8,110,8,445,1,0.247191,4.04545,0.752809,false
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,4,361,0.0109589,7,111,7,446,1,0.248879,4.01802,0.751121,false
has_patternProperties__AND__has_required,has_patternProperties,has_required,3,362,0.00821918,5,113,5,448,1,0.252232,3.9646,0.747768,false
has_enum__AND__has_minimum,has_enum,has_minimum,2,363,0.00547945,4,114,4,449,1,0.253898,3.9386,0.746102,false
has_items__AND__has_patternProperties,has_items,has_patternProperties,2,363,0.00547945,4,114,4,449,1,0.253898,3.9386,0.746102,false
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,2,363,0.00547945,4,114,4,449,1,0.253898,3.9386,0.746102,false
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,2,363,0.00547945,3,115,3,450,1,0.255556,3.91304,0.744444,false
has_minProperties__AND__has_patternProperties,has_minProperties,has_patternProperties,2,363,0.00547945,3,115,3,450,1,0.255556,3.91304,0.744444,false
has_maxItems__AND__has_required,has_maxItems,has_required,3,362,0.00821918,2,116,2,451,1,0.257206,3.88793,0.742794,false
has_default__AND__has_defs,has_default,has_defs,2,363,0.00547945,2,116,2,451,1,0.257206,3.88793,0.742794,false
has_allOf__AND__has_minimum,has_allOf,has_minimum,1,364,0.00273973,2,116,2,451,1,0.257206,3.88793,0.742794,false
has_allOf__AND__has_oneOf,has_allOf,has_oneOf,1,364,0.00273973,2,116,2,451,1,0.257206,3.88793,0.742794,false
has_minLength__AND__has_minProperties,has_minLength,has_minProperties,1,364,0.00273973,2,116,2,451,1,0.257206,3.88793,0.742794,false
has_minLength__AND__has_minimum,has_minLength,has_minimum,1,364,0.00273973,2,116,2,451,1,0.257206,3.88793,0.742794,false
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,2,363,0.00547945,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,2,363,0.00547945,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_defs__AND__has_maxItems,has_defs,has_maxItems,2,363,0.00547945,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,1,364,0.00273973,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_allOf__AND__has_maxItems,has_allOf,has_maxItems,1,364,0.00273973,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_allOf__AND__has_maxLength,has_allOf,has_maxLength,1,364,0.00273973,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_allOf__AND__has_minLength,has_allOf,has_minLength,1,364,0.00273973,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_anyOf__AND__has_maxLength,has_anyOf,has_maxLength,1,364,0.00273973,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_defs__AND__has_maxLength,has_defs,has_maxLength,1,364,0.00273973,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_defs__AND__has_minLength,has_defs,has_minLength,1,364,0.00273973,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_enum__AND__has_maxItems,has_enum,has_maxItems,1,364,0.00273973,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,1,364,0.00273973,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,1,364,0.00273973,1,117,1,452,1,0.25885,3.86325,0.74115,false
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,4,361,0.0109589,5,113,6,447,0.833333,0.252796,3.29646,0.580537,false
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,3,362,0.00821918,3,115,4,449,0.75,0.256125,2.92826,0.493875,false
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,8,357,0.0219178,6,112,9,444,0.666667,0.252252,2.64286,0.414414,false
has_items__AND__has_maxItems,has_items,has_maxItems,4,361,0.0109589,2,116,3,450,0.666667,0.257778,2.58621,0.408889,false
has_maxItems__AND__has_properties,has_maxItems,has_properties,4,361,0.0109589,2,116,3,450,0.666667,0.257778,2.58621,0.408889,false
has_items__AND__has_maxLength,has_items,has_maxLength,4,361,0.0109589,3,115,5,448,0.6,0.256696,2.33739,0.343304,false
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,3,362,0.00821918,3,115,5,448,0.6,0.256696,2.33739,0.343304,false
has_minProperties__AND__has_type,has_minProperties,has_type,3,362,0.00821918,3,115,5,448,0.6,0.256696,2.33739,0.343304,false
has_maxLength__AND__has_oneOf,has_maxLength,has_oneOf,7,358,0.0191781,5,113,9,444,0.555556,0.254505,2.18289,0.301051,false
has_items__AND__has_minLength,has_items,has_minLength,9,356,0.0246575,7,111,13,440,0.538462,0.252273,2.13444,0.286189,false
has_not__AND__has_properties,has_not,has_properties,6,359,0.0164384,3,115,6,447,0.5,0.257271,1.94348,0.242729,false
has_maxItems__AND__has_type,has_maxItems,has_type,5,360,0.0136986,2,116,4,449,0.5,0.258352,1.93534,0.241648,false
has_items__AND__has_minimum,has_items,has_minimum,3,362,0.00821918,2,116,4,449,0.5,0.258352,1.93534,0.241648,false
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,3,362,0.00821918,2,116,4,449,0.5,0.258352,1.93534,0.241648,false
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,3,362,0.00821918,1,117,2,451,0.5,0.259424,1.92735,0.240576,false
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,2,363,0.00547945,1,117,2,451,0.5,0.259424,1.92735,0.240576,false
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,2,363,0.00547945,1,117,2,451,0.5,0.259424,1.92735,0.240576,false
has_not__AND__has_oneOf,has_not,has_oneOf,2,363,0.00547945,1,117,2,451,0.5,0.259424,1.92735,0.240576,false
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,13,352,0.0356164,8,110,17,436,0.470588,0.252294,1.86524,0.218295,false
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,13,352,0.0356164,8,110,17,436,0.470588,0.252294,1.86524,0.218295,false
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,11,354,0.030137,7,111,15,438,0.466667,0.253425,1.84144,0.213242,false
has_minimum__AND__has_required,has_minimum,has_required,9,356,0.0246575,5,113,11,442,0.454545,0.255656,1.77796,0.198889,false
has_enum__AND__has_minLength,has_enum,has_minLength,5,360,0.0136986,3,115,7,446,0.428571,0.257848,1.66211,0.170724,false
has_minLength__AND__has_pattern,has_minLength,has_pattern,5,360,0.0136986,3,115,7,446,0.428571,0.257848,1.66211,0.170724,false
has_not__AND__has_type,has_not,has_type,7,358,0.0191781,3,115,8,445,0.375,0.258427,1.45109,0.116573,false
has_maxLength__AND__has_required,has_maxLength,has_required,10,355,0.0273973,4,114,11,442,0.363636,0.257919,1.40989,0.105718,false
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,14,351,0.0383562,5,113,14,439,0.357143,0.257403,1.38748,0.0997397,false
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,14,351,0.0383562,5,113,14,439,0.357143,0.257403,1.38748,0.0997397,false
has_anyOf__AND__has_not,has_anyOf,has_not,3,362,0.00821918,1,117,3,450,0.333333,0.26,1.28205,0.0733333,false
has_enum__AND__has_maxLength,has_enum,has_maxLength,2,363,0.00547945,1,117,3,450,0.333333,0.26,1.28205,0.0733333,false
has_minimum__AND__has_properties,has_minimum,has_properties,13,352,0.0356164,5,113,16,437,0.3125,0.258581,1.20852,0.0539188,false
has_not__AND__has_required,has_not,has_required,6,359,0.0164384,2,116,7,446,0.285714,0.26009,1.09852,0.0256246,false
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,3,362,0.00821918,1,117,4,449,0.25,0.260579,0.959402,-0.0105791,false
has_maximum__AND__has_minimum,has_maximum,has_minimum,8,357,0.0219178,2,116,8,445,0.25,0.260674,0.959052,-0.0106742,false
has_maximum__AND__has_type,has_maximum,has_type,8,357,0.0219178,2,116,8,445,0.25,0.260674,0.959052,-0.0106742,false
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,6,359,0.0164384,2,116,8,445,0.25,0.260674,0.959052,-0.0106742,false
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,9,356,0.0246575,3,115,13,440,0.230769,0.261364,0.882943,-0.0305944,false
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,10,355,0.0273973,3,115,15,438,0.2,0.262557,0.761739,-0.0625571,false
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,10,355,0.0273973,3,115,15,438,0.2,0.262557,0.761739,-0.0625571,false
has_minItems__AND__has_required,has_minItems,has_required,9,356,0.0246575,2,116,12,441,0.166667,0.263039,0.633621,-0.0963719,false
has_minItems__AND__has_properties,has_minItems,has_properties,12,353,0.0328767,2,116,15,438,0.133333,0.26484,0.503448,-0.131507,false
has_items__AND__has_minItems,has_items,has_minItems,14,351,0.0383562,2,116,17,436,0.117647,0.266055,0.442191,-0.148408,false
has_enum__AND__has_minItems,has_enum,has_minItems,5,360,0.0136986,1,117,9,444,0.111111,0.263514,0.421652,-0.152402,false
has_minItems__AND__has_type,has_minItems,has_type,15,350,0.0410959,2,116,18,435,0.111111,0.266667,0.416667,-0.155556,false
has_minItems__AND__has_oneOf,has_minItems,has_oneOf,6,359,0.0164384,1,117,10,443,0.1,0.264108,0.378632,-0.164108,false
has_default__AND__has_enum,has_default,has_enum,8,357,0.0219178,1,117,11,442,0.0909091,0.264706,0.343434,-0.173797,false
has_anyOf__AND__has_required,has_anyOf,has_required,14,351,0.0383562,1,117,16,437,0.0625,0.267735,0.23344,-0.205235,false
has_anyOf__AND__has_maxItems,has_anyOf,has_maxItems,1,364,0.00273973,0,118,0,453,0,0.260486,0,-0.260486,false
has_defs__AND__has_minItems,has_defs,has_minItems,1,364,0.00273973,0,118,0,453,0,0.260486,0,-0.260486,false
has_maxItems__AND__has_ref,has_maxItems,has_ref,1,364,0.00273973,0,118,0,453,0,0.260486,0,-0.260486,false
has_minItems__AND__has_ref,has_minItems,has_ref,1,364,0.00273973,0,118,0,453,0,0.260486,0,-0.260486,false
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,2,363,0.00547945,0,118,1,452,0,0.261062,0,-0.261062,false
has_items__AND__has_ref,has_items,has_ref,2,363,0.00547945,0,118,1,452,0,0.261062,0,-0.261062,false
has_anyOf__AND__has_maximum,has_anyOf,has_maximum,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_anyOf__AND__has_minLength,has_anyOf,has_minLength,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_default__AND__has_maxLength,has_default,has_maxLength,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_default__AND__has_maximum,has_default,has_maximum,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_default__AND__has_minLength,has_default,has_minLength,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_default__AND__has_minimum,has_default,has_minimum,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_enum__AND__has_not,has_enum,has_not,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_enum__AND__has_ref,has_enum,has_ref,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_items__AND__has_not,has_items,has_not,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_maxItems__AND__has_maximum,has_maxItems,has_maximum,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_maximum__AND__has_minItems,has_maximum,has_minItems,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_maximum__AND__has_pattern,has_maximum,has_pattern,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_minItems__AND__has_minimum,has_minItems,has_minimum,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_minLength__AND__has_not,has_minLength,has_not,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_minimum__AND__has_multipleOf,has_minimum,has_multipleOf,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_minimum__AND__has_pattern,has_minimum,has_pattern,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_not__AND__has_pattern,has_not,has_pattern,1,364,0.00273973,0,118,1,452,0,0.261062,0,-0.261062,false
has_allOf__AND__has_ref,has_allOf,has_ref,2,363,0.00547945,0,118,2,451,0,0.261641,0,-0.261641,false
has_items__AND__has_maximum,has_items,has_maximum,2,363,0.00547945,0,118,2,451,0,0.261641,0,-0.261641,false
has_minItems__AND__has_minLength,has_minItems,has_minLength,2,363,0.00547945,0,118,2,451,0,0.261641,0,-0.261641,false
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,2,363,0.00547945,0,118,2,451,0,0.261641,0,-0.261641,false
has_multipleOf__AND__has_type,has_multipleOf,has_type,2,363,0.00547945,0,118,2,451,0,0.261641,0,-0.261641,false
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,1,364,0.00273973,0,118,2,451,0,0.261641,0,-0.261641,false
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,3,362,0.00821918,0,118,3,450,0,0.262222,0,-0.262222,false
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,3,362,0.00821918,0,118,3,450,0,0.262222,0,-0.262222,false
has_maximum__AND__has_required,has_maximum,has_required,3,362,0.00821918,0,118,3,450,0,0.262222,0,-0.262222,false
has_maximum__AND__has_properties,has_maximum,has_properties,4,361,0.0109589,0,118,4,449,0,0.262806,0,-0.262806,false
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,3,362,0.00821918,0,118,4,449,0,0.262806,0,-0.262806,false
has_anyOf__AND__has_defs,has_anyOf,has_defs,3,362,0.00821918,0,118,4,449,0,0.262806,0,-0.262806,false
has_anyOf__AND__has_ref,has_anyOf,has_ref,3,362,0.00821918,0,118,4,449,0,0.262806,0,-0.262806,false
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,3,362,0.00821918,0,118,4,449,0,0.262806,0,-0.262806,false
has_default__AND__has_minItems,has_default,has_minItems,2,363,0.00547945,0,118,4,449,0,0.262806,0,-0.262806,false
has_anyOf__AND__has_pattern,has_anyOf,has_pattern,4,361,0.0109589,0,118,5,448,0,0.263393,0,-0.263393,false
has_default__AND__has_pattern,has_default,has_pattern,3,362,0.00821918,0,118,5,448,0,0.263393,0,-0.263393,false
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,5,360,0.0136986,0,118,6,447,0,0.263982,0,-0.263982,false
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,5,360,0.0136986,0,118,6,447,0,0.263982,0,-0.263982,false
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,5,360,0.0136986,0,118,6,447,0,0.263982,0,-0.263982,false
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,5,360,0.0136986,0,118,6,447,0,0.263982,0,-0.263982,false
has_ref__AND__has_required,has_ref,has_required,5,360,0.0136986,0,118,6,447,0,0.263982,0,-0.263982,false
has_minItems__AND__has_pattern,has_minItems,has_pattern,4,361,0.0109589,0,118,6,447,0,0.263982,0,-0.263982,false
has_anyOf__AND__has_boolean_schema,has_anyOf,has_boolean_schema,6,359,0.0164384,0,118,7,446,0,0.264574,0,-0.264574,false
has_default__AND__has_items,has_default,has_items,5,360,0.0136986,0,118,7,446,0,0.264574,0,-0.264574,false
has_anyOf__AND__has_items,has_anyOf,has_items,7,358,0.0191781,0,118,8,445,0,0.265169,0,-0.265169,false
has_properties__AND__has_ref,has_properties,has_ref,7,358,0.0191781,0,118,8,445,0,0.265169,0,-0.265169,false
has_default__AND__has_oneOf,has_default,has_oneOf,5,360,0.0136986,0,118,8,445,0,0.265169,0,-0.265169,false
has_anyOf__AND__has_enum,has_anyOf,has_enum,8,357,0.0219178,0,118,10,443,0,0.266366,0,-0.266366,false
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,8,357,0.0219178,0,118,11,442,0,0.266968,0,-0.266968,false
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,8,357,0.0219178,0,118,11,442,0,0.266968,0,-0.266968,false
has_enum__AND__has_pattern,has_enum,has_pattern,7,358,0.0191781,0,118,11,442,0,0.266968,0,-0.266968,false
has_defs__AND__has_ref,has_defs,has_ref,10,355,0.0273973,0,118,12,441,0,0.267574,0,-0.267574,false
has_items__AND__has_pattern,has_items,has_pattern,10,355,0.0273973,0,118,12,441,0,0.267574,0,-0.267574,false
has_ref__AND__has_type,has_ref,has_type,10,355,0.0273973,0,118,12,441,0,0.267574,0,-0.267574,false
has_default__AND__has_required,has_default,has_required,10,355,0.0273973,0,118,14,439,0,0.268793,0,-0.268793,false
